Layer Number,client_conv_time,client_2_server_tx_time,server_conv_time,server_2_client_tx_time,layer_type
16,0.13538146018981934,0.9000797271728516,0.19897222518920898,0.010380744934082031,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
17,0.12812066078186035,0.47260546684265137,0.20067405700683594,0.013328313827514648,ReLU(inplace=True)
18,0.15443992614746094,0.8981647491455078,0.1810927391052246,0.011321306228637695,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
19,0.13139891624450684,0.9406242370605469,0.18547534942626953,0.009343147277832031,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
20,0.13697099685668945,0.4744868278503418,0.18534255027770996,0.013482332229614258,ReLU(inplace=True)
21,0.1478734016418457,0.8826820850372314,0.16755104064941406,0.010262727737426758,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
22,0.1711287498474121,0.892493724822998,0.16744303703308105,0.010387420654296875,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
23,0.16800475120544434,0.4564182758331299,0.16684651374816895,0.009022235870361328,ReLU(inplace=True)
24,0.15150070190429688,0.8705432415008545,0.15247678756713867,0.009783267974853516,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
25,0.19635510444641113,0.8912842273712158,0.15363335609436035,0.010736703872680664,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
26,0.18945598602294922,0.4259674549102783,0.15497708320617676,0.01060175895690918,ReLU(inplace=True)
27,0.14844846725463867,0.15532326698303223,0.1274092197418213,0.0030565261840820312,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
28,0.14711880683898926,0.4630556106567383,0.13114309310913086,0.006199359893798828,"Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
29,0.15492534637451172,0.44823622703552246,0.12749767303466797,0.00651860237121582,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
30,0.15811991691589355,0.2034296989440918,0.13260459899902344,0.006197214126586914,ReLU(inplace=True)
31,0.1828322410583496,0.45595717430114746,0.11668133735656738,0.007286548614501953,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
32,0.18491625785827637,0.4640333652496338,0.11404061317443848,0.006372690200805664,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
33,0.1687169075012207,0.25876760482788086,0.11360716819763184,0.005402088165283203,ReLU(inplace=True)
34,0.19384026527404785,0.4578104019165039,0.09948420524597168,0.006464242935180664,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
35,0.19039535522460938,0.4460885524749756,0.10047388076782227,0.0058765411376953125,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
36,0.18128085136413574,0.19805598258972168,0.10754799842834473,0.005682468414306641,ReLU(inplace=True)
37,0.18578052520751953,0.43419623374938965,0.08312749862670898,0.006604909896850586,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
38,0.21700239181518555,0.4410245418548584,0.08997726440429688,0.005152225494384766,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
39,0.19179487228393555,0.19268536567687988,0.0867915153503418,0.0060269832611083984,ReLU(inplace=True)
40,0.20981168746948242,0.06944727897644043,0.0764319896697998,0.0036432743072509766,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
41,0.22932791709899902,0.11928963661193848,0.08379745483398438,0.005748271942138672,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
42,0.217911958694458,0.10650444030761719,0.06506609916687012,0.0030062198638916016,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
43,0.20171332359313965,0.0648810863494873,0.0656898021697998,0.002959728240966797,ReLU(inplace=True)
44,0.19054841995239258,0.11815524101257324,0.0657498836517334,0.003720998764038086,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
45,0.20730805397033691,0.11627840995788574,0.0574185848236084,0.0026929378509521484,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
46,0.1932821273803711,0.06017613410949707,0.05690622329711914,0.002854585647583008,ReLU(inplace=True)
47,0.20273876190185547,0.11699414253234863,0.05035519599914551,0.002906322479248047,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
48,0.20035910606384277,0.11597514152526855,0.054047584533691406,0.0027167797088623047,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
49,0.20404577255249023,0.055480003356933594,0.053766489028930664,0.0025300979614257812,ReLU(inplace=True)
50,0.23808622360229492,0.10546207427978516,0.044553518295288086,0.0022301673889160156,"Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
51,0.2149491310119629,0.12628841400146484,0.04418802261352539,0.002761363983154297,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"
52,0.22046780586242676,0.05797123908996582,0.046674489974975586,0.002917766571044922,ReLU(inplace=True)
53,0.22416901588439941,0.02500438690185547,0.044086456298828125,0.0016226768493652344,"MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)"
54,0.24697470664978027,0.0246584415435791,0.04419684410095215,0.001986980438232422,"AdaptiveAvgPool2d(output_size=(7, 7))"
55,0.2745945453643799,0.009696245193481445,0.007141590118408203,0.0015592575073242188,"Linear(in_features=25088, out_features=4096, bias=True)"
56,0.2745189666748047,0.006722211837768555,0.0073719024658203125,0.002076387405395508,ReLU(inplace=True)
57,0.3115839958190918,0.007817268371582031,0.007750988006591797,0.002819538116455078,"Dropout(p=0.5, inplace=False)"
58,0.30831384658813477,0.011888742446899414,0.0030350685119628906,0.0024411678314208984,"Linear(in_features=4096, out_features=4096, bias=True)"
59,0.3090994358062744,0.0074880123138427734,0.0030062198638916016,0.0021200180053710938,ReLU(inplace=True)
60,0.3057112693786621,0.0076367855072021484,0.0029349327087402344,0.002193927764892578,"Dropout(p=0.5, inplace=False)"
